Date : 2022-01-14 10:44:33
Directory : e:\codepag\vue-admin-template
Total : 117 files,  11043 codes, 531 comments, 803 blanks, all 12377 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| src\layout\mixin                                                            |          1 |         40 |          2 |          4 |         46 |
| src\router                                                                  |          1 |        178 |         39 |         22 |        239 |
| src\store                                                                   |          6 |        347 |          7 |         42 |        396 |
| src\store\modules                                                           |          4 |        319 |          7 |         37 |        363 |
| src\styles                                                                  |          8 |        914 |         36 |        108 |      1,058 |
| src\utils                                                                   |         11 |        586 |        147 |         78 |        811 |
| src\vendor                                                                  |          2 |        202 |         16 |         28 |        246 |
| src\views                                                                   |         18 |      5,976 |        153 |        213 |      6,342 |
| src\views\CreateForm                                                        |          1 |        168 |          0 |          7 |        175 |
| src\views\DeliveryList                                                      |          2 |        608 |         13 |         26 |        647 |
| src\views\MineInfo                                                          |          1 |        197 |          3 |          6 |        206 |
| src\views\OverviewList                                                      |          2 |        405 |         11 |         20 |        436 |
| src\views\PayableList                                                       |          2 |        972 |         30 |         42 |      1,044 |
| src\views\PlanSend                                                          |          2 |      1,055 |         31 |         34 |      1,120 |
| src\views\PriceList                                                         |          1 |        352 |         17 |          8 |        377 |
| src\views\PuchaseList                                                       |          2 |      1,246 |         35 |         40 |      1,321 |
| src\views\ReturnList                                                        |          2 |        544 |         13 |         20 |        577 |
| src\views\login                                                             |          1 |        192 |          0 |          5 |        197 |
| src\views\redirect                                                          |          1 |         12 |          0 |          1 |         13 |
| tests                                                                       |          8 |        215 |         14 |         18 |        247 |
| tests\unit                                                                  |          8 |        215 |         14 |         18 |        247 |
| tests\unit\components                                                       |          3 |        120 |         14 |          7 |        141 |
| tests\unit\utils                                                            |          4 |         90 |          0 |         10 |        100 |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                    | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\codepag\vue-admin-template\.eslintrc.js                                  | JavaScript |        195 |          2 |          2 |        199 |
| e:\codepag\vue-admin-template\.travis.yml                                   | YAML       |          5 |          0 |          1 |          6 |
| e:\codepag\vue-admin-template\README-zh.md                                  | Markdown   |         63 |          0 |         40 |        103 |
| e:\codepag\vue-admin-template\README.md                                     | Markdown   |         54 |          0 |         37 |         91 |
| e:\codepag\vue-admin-template\babel.config.js                               | JavaScript |         10 |          4 |          1 |         15 |
| e:\codepag\vue-admin-template\build\index.js                                | JavaScript |         28 |          0 |          8 |         36 |
| e:\codepag\vue-admin-template\jest.config.js                                | JavaScript |         22 |          2 |          1 |         25 |
| e:\codepag\vue-admin-template\jsconfig.json                                 | JSON       |          5 |          5 |          0 |         10 |
| e:\codepag\vue-admin-template\package.json                                  | JSON       |         70 |          0 |          1 |         71 |
| e:\codepag\vue-admin-template\postcss.config.js                             | JavaScript |          5 |          2 |          2 |          9 |
| e:\codepag\vue-admin-template\public\index.html                             | HTML       |         16 |          1 |          1 |         18 |
| e:\codepag\vue-admin-template\src\App.vue                                   | Vue        |         10 |          0 |          2 |         12 |
| e:\codepag\vue-admin-template\src\api\procurement\delivery.js               | JavaScript |         28 |          2 |          5 |         35 |
| e:\codepag\vue-admin-template\src\api\procurement\material.js               | JavaScript |          8 |          1 |          2 |         11 |
| e:\codepag\vue-admin-template\src\api\procurement\payable.js                | JavaScript |         42 |          6 |          7 |         55 |
| e:\codepag\vue-admin-template\src\api\procurement\puchase.js                | JavaScript |         35 |          3 |          6 |         44 |
| e:\codepag\vue-admin-template\src\api\procurement\return.js                 | JavaScript |          8 |          1 |          2 |         11 |
| e:\codepag\vue-admin-template\src\api\procurement\sendplan.js               | JavaScript |         28 |          1 |          5 |         34 |
| e:\codepag\vue-admin-template\src\api\table.js                              | JavaScript |          8 |          0 |          2 |         10 |
| e:\codepag\vue-admin-template\src\api\user.js                               | JavaScript |         25 |          0 |          4 |         29 |
| e:\codepag\vue-admin-template\src\components\Breadcrumb\index.vue           | Vue        |         70 |          2 |          7 |         79 |
| e:\codepag\vue-admin-template\src\components\Hamburger\index.vue            | Vue        |         41 |          0 |          4 |         45 |
| e:\codepag\vue-admin-template\src\components\MaterialSearch.vue             | Vue        |        160 |          0 |         11 |        171 |
| e:\codepag\vue-admin-template\src\components\Pagination\index.vue           | Vue        |         89 |          0 |          4 |         93 |
| e:\codepag\vue-admin-template\src\components\SvgIcon\index.vue              | Vue        |         57 |          1 |          5 |         63 |
| e:\codepag\vue-admin-template\src\components\UploadExcel\index.vue          | Vue        |        134 |          2 |          6 |        142 |
| e:\codepag\vue-admin-template\src\icons\index.js                            | JavaScript |          6 |          1 |          3 |         10 |
| e:\codepag\vue-admin-template\src\icons\svg\dashboard.svg                   | XML        |          1 |          0 |          0 |          1 |
| e:\codepag\vue-admin-template\src\icons\svg\example.svg                     | XML        |          1 |          0 |          0 |          1 |
| e:\codepag\vue-admin-template\src\icons\svg\exception-handle.svg            | XML        |         38 |          1 |          0 |         39 |
| e:\codepag\vue-admin-template\src\icons\svg\eye-open.svg                    | XML        |          1 |          0 |          0 |          1 |
| e:\codepag\vue-admin-template\src\icons\svg\eye.svg                         | XML        |          1 |          0 |          0 |          1 |
| e:\codepag\vue-admin-template\src\icons\svg\form.svg                        | XML        |          1 |          0 |          0 |          1 |
| e:\codepag\vue-admin-template\src\icons\svg\link.svg                        | XML        |          1 |          0 |          0 |          1 |
| e:\codepag\vue-admin-template\src\icons\svg\nested.svg                      | XML        |          1 |          0 |          0 |          1 |
| e:\codepag\vue-admin-template\src\icons\svg\order-manage.svg                | XML        |         30 |          1 |          0 |         31 |
| e:\codepag\vue-admin-template\src\icons\svg\password.svg                    | XML        |          1 |          0 |          0 |          1 |
| e:\codepag\vue-admin-template\src\icons\svg\payable-manage.svg              | XML        |         23 |          0 |          0 |         23 |
| e:\codepag\vue-admin-template\src\icons\svg\product-manage.svg              | XML        |         27 |          1 |          0 |         28 |
| e:\codepag\vue-admin-template\src\icons\svg\return-manage.svg               | XML        |         19 |          0 |          0 |         19 |
| e:\codepag\vue-admin-template\src\icons\svg\selfCenter.svg                  | XML        |         27 |          1 |          0 |         28 |
| e:\codepag\vue-admin-template\src\icons\svg\table.svg                       | XML        |          1 |          0 |          0 |          1 |
| e:\codepag\vue-admin-template\src\icons\svg\tree.svg                        | XML        |          1 |          0 |          0 |          1 |
| e:\codepag\vue-admin-template\src\icons\svg\user.svg                        | XML        |          1 |          0 |          0 |          1 |
| e:\codepag\vue-admin-template\src\icons\svgo.yml                            | YAML       |          5 |         13 |          5 |         23 |
| e:\codepag\vue-admin-template\src\layout\components\AppMain.vue             | Vue        |         46 |          3 |          6 |         55 |
| e:\codepag\vue-admin-template\src\layout\components\Navbar.vue              | Vue        |        120 |          0 |         18 |        138 |
| e:\codepag\vue-admin-template\src\layout\components\Sidebar\FixiOSBug.js    | JavaScript |         24 |          2 |          1 |         27 |
| e:\codepag\vue-admin-template\src\layout\components\Sidebar\Item.vue        | Vue        |         38 |          0 |          4 |         42 |
| e:\codepag\vue-admin-template\src\layout\components\Sidebar\Link.vue        | Vue        |         41 |          0 |          3 |         44 |
| e:\codepag\vue-admin-template\src\layout\components\Sidebar\Logo.vue        | Vue        |         74 |          0 |          9 |         83 |
| e:\codepag\vue-admin-template\src\layout\components\Sidebar\SidebarItem.vue | Vue        |         83 |          6 |          7 |         96 |
| e:\codepag\vue-admin-template\src\layout\components\Sidebar\index.vue       | Vue        |         53 |          1 |          3 |         57 |
| e:\codepag\vue-admin-template\src\layout\components\TagsView\ScrollPane.vue | Vue        |         81 |          4 |         10 |         95 |
| e:\codepag\vue-admin-template\src\layout\components\TagsView\index.vue      | Vue        |        281 |          6 |          7 |        294 |
| e:\codepag\vue-admin-template\src\layout\components\index.js                | JavaScript |          4 |          0 |          1 |          5 |
| e:\codepag\vue-admin-template\src\layout\detailLayout.vue                   | Vue        |         88 |          0 |          8 |         96 |
| e:\codepag\vue-admin-template\src\layout\index.vue                          | Vue        |         88 |          0 |          8 |         96 |
| e:\codepag\vue-admin-template\src\layout\mixin\ResizeHandler.js             | JavaScript |         40 |          2 |          4 |         46 |
| e:\codepag\vue-admin-template\src\main.js                                   | JavaScript |         18 |          2 |          9 |         29 |
| e:\codepag\vue-admin-template\src\permission.js                             | JavaScript |         45 |         10 |         10 |         65 |
| e:\codepag\vue-admin-template\src\router\index.js                           | JavaScript |        178 |         39 |         22 |        239 |
| e:\codepag\vue-admin-template\src\settings.js                               | JavaScript |          5 |          8 |          4 |         17 |
| e:\codepag\vue-admin-template\src\store\getters.js                          | JavaScript |         10 |          0 |          1 |         11 |
| e:\codepag\vue-admin-template\src\store\index.js                            | JavaScript |         18 |          0 |          4 |         22 |
| e:\codepag\vue-admin-template\src\store\modules\app.js                      | JavaScript |         64 |          0 |          5 |         69 |
| e:\codepag\vue-admin-template\src\store\modules\settings.js                 | JavaScript |         25 |          1 |          7 |         33 |
| e:\codepag\vue-admin-template\src\store\modules\tagsView.js                 | JavaScript |        147 |          2 |         12 |        161 |
| e:\codepag\vue-admin-template\src\store\modules\user.js                     | JavaScript |         83 |          4 |         13 |        100 |
| e:\codepag\vue-admin-template\src\styles\createform.scss                    | SCSS       |        174 |          0 |          1 |        175 |
| e:\codepag\vue-admin-template\src\styles\element-ui.scss                    | SCSS       |        293 |         22 |         27 |        342 |
| e:\codepag\vue-admin-template\src\styles\index.scss                         | SCSS       |         58 |          1 |         11 |         70 |
| e:\codepag\vue-admin-template\src\styles\mixin.scss                         | SCSS       |         24 |          0 |          5 |         29 |
| e:\codepag\vue-admin-template\src\styles\procure.scss                       | SCSS       |        132 |          0 |          8 |        140 |
| e:\codepag\vue-admin-template\src\styles\sidebar.scss                       | SCSS       |        180 |          6 |         41 |        227 |
| e:\codepag\vue-admin-template\src\styles\transition.scss                    | SCSS       |         35 |          4 |         10 |         49 |
| e:\codepag\vue-admin-template\src\styles\variables.scss                     | SCSS       |         18 |          3 |          5 |         26 |
| e:\codepag\vue-admin-template\src\utils\auth.js                             | JavaScript |         11 |          0 |          5 |         16 |
| e:\codepag\vue-admin-template\src\utils\get-page-title.js                   | JavaScript |          8 |          0 |          3 |         11 |
| e:\codepag\vue-admin-template\src\utils\guide.js                            | JavaScript |         26 |          0 |          1 |         27 |
| e:\codepag\vue-admin-template\src\utils\index.js                            | JavaScript |         88 |         23 |          7 |        118 |
| e:\codepag\vue-admin-template\src\utils\md5.js                              | JavaScript |        148 |         52 |         24 |        224 |
| e:\codepag\vue-admin-template\src\utils\print.js                            | JavaScript |        119 |          2 |         13 |        134 |
| e:\codepag\vue-admin-template\src\utils\request.js                          | JavaScript |         69 |         22 |          8 |         99 |
| e:\codepag\vue-admin-template\src\utils\request1.js                         | JavaScript |         58 |         21 |          8 |         87 |
| e:\codepag\vue-admin-template\src\utils\scroll-to.js                        | JavaScript |         39 |         15 |          5 |         59 |
| e:\codepag\vue-admin-template\src\utils\select.js                           | JavaScript |         13 |          1 |          1 |         15 |
| e:\codepag\vue-admin-template\src\utils\validate.js                         | JavaScript |          7 |         11 |          3 |         21 |
| e:\codepag\vue-admin-template\src\vendor\Export2Excel.js                    | JavaScript |        180 |         15 |         26 |        221 |
| e:\codepag\vue-admin-template\src\vendor\Export2Zip.js                      | JavaScript |         22 |          1 |          2 |         25 |
| e:\codepag\vue-admin-template\src\views\404.vue                             | Vue        |        225 |          0 |          4 |        229 |
| e:\codepag\vue-admin-template\src\views\CreateForm\index.vue                | Vue        |        168 |          0 |          7 |        175 |
| e:\codepag\vue-admin-template\src\views\DeliveryList\delivery-detail.vue    | Vue        |        350 |          8 |         17 |        375 |
| e:\codepag\vue-admin-template\src\views\DeliveryList\index.vue              | Vue        |        258 |          5 |          9 |        272 |
| e:\codepag\vue-admin-template\src\views\MineInfo\index.vue                  | Vue        |        197 |          3 |          6 |        206 |
| e:\codepag\vue-admin-template\src\views\OverviewList\index.vue              | Vue        |        278 |         10 |         13 |        301 |
| e:\codepag\vue-admin-template\src\views\OverviewList\uploadExcel.vue        | Vue        |        127 |          1 |          7 |        135 |
| e:\codepag\vue-admin-template\src\views\PayableList\index.vue               | Vue        |        531 |         18 |         24 |        573 |
| e:\codepag\vue-admin-template\src\views\PayableList\payable-detail.vue      | Vue        |        441 |         12 |         18 |        471 |
| e:\codepag\vue-admin-template\src\views\PlanSend\index.vue                  | Vue        |        526 |         22 |         16 |        564 |
| e:\codepag\vue-admin-template\src\views\PlanSend\plansend-detail.vue        | Vue        |        529 |          9 |         18 |        556 |
| e:\codepag\vue-admin-template\src\views\PriceList\index.vue                 | Vue        |        352 |         17 |          8 |        377 |
| e:\codepag\vue-admin-template\src\views\PuchaseList\index.vue               | Vue        |        584 |         22 |         17 |        623 |
| e:\codepag\vue-admin-template\src\views\PuchaseList\puchase-detail.vue      | Vue        |        662 |         13 |         23 |        698 |
| e:\codepag\vue-admin-template\src\views\ReturnList\index.vue                | Vue        |        271 |          8 |         11 |        290 |
| e:\codepag\vue-admin-template\src\views\ReturnList\return-detail.vue        | Vue        |        273 |          5 |          9 |        287 |
| e:\codepag\vue-admin-template\src\views\login\index.vue                     | Vue        |        192 |          0 |          5 |        197 |
| e:\codepag\vue-admin-template\src\views\redirect\index.vue                  | Vue        |         12 |          0 |          1 |         13 |
| e:\codepag\vue-admin-template\tests\unit\.eslintrc.js                       | JavaScript |          5 |          0 |          1 |          6 |
| e:\codepag\vue-admin-template\tests\unit\components\Breadcrumb.spec.js      | JavaScript |         80 |         14 |          5 |         99 |
| e:\codepag\vue-admin-template\tests\unit\components\Hamburger.spec.js       | JavaScript |         18 |          0 |          1 |         19 |
| e:\codepag\vue-admin-template\tests\unit\components\SvgIcon.spec.js         | JavaScript |         22 |          0 |          1 |         23 |
| e:\codepag\vue-admin-template\tests\unit\utils\formatTime.spec.js           | JavaScript |         28 |          0 |          3 |         31 |
| e:\codepag\vue-admin-template\tests\unit\utils\param2Obj.spec.js            | JavaScript |         13 |          0 |          2 |         15 |
| e:\codepag\vue-admin-template\tests\unit\utils\parseTime.spec.js            | JavaScript |         33 |          0 |          3 |         36 |
| e:\codepag\vue-admin-template\tests\unit\utils\validate.spec.js             | JavaScript |         16 |          0 |          2 |         18 |
| e:\codepag\vue-admin-template\vue.config.js                                 | JavaScript |         94 |         22 |          8 |        124 |
| Total                                                                       |            |     11,043 |        531 |        803 |     12,377 |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
